edgename	CI	
par47 (pp) par50	20.477796	
par47 (pp) par107	29.985219	
par47 (pp) par108	45.163148	
par48 (pp) par49	1180.77	
par48 (pp) par50	20.477796	
par48 (pp) par107	29.985219	
par48 (pp) par108	45.163148	
par49 (pp) par50	20.523476	
par49 (pp) par107	30.055645	
par49 (pp) par108	45.284357	
par50 (pp) par107	64.329925	
par50 (pp) par108	37.389075	
par51 (pp) par53	119.32237	
par51 (pp) par54	26.467461	
par51 (pp) par55	167.81055	
par51 (pp) par56	55.137703	
par51 (pp) par57	167.81055	
par51 (pp) par89	35.201235	
par51 (pp) par90	159.15058	
par51 (pp) par91	253.00019	
par53 (pp) par54	21.921918	
par53 (pp) par55	199.22687	
par53 (pp) par56	38.475959	
par53 (pp) par57	199.22687	
par53 (pp) par89	27.375542	
par53 (pp) par90	116.64877	
par53 (pp) par91	88.053004	
par54 (pp) par55	22.936301	
par54 (pp) par56	50.843865	
par54 (pp) par57	22.936301	
par54 (pp) par58	65.573216	
par54 (pp) par89	92.896453	
par54 (pp) par90	23.736112	
par54 (pp) par91	27.5668	
par55 (pp) par56	41.663398	
par55 (pp) par57	1.1851477e+16	
par55 (pp) par89	29.395843	
par55 (pp) par90	247.3099	
par55 (pp) par91	125.62054	
par56 (pp) par57	41.663398	
par56 (pp) par58	28.645804	
par56 (pp) par89	90.148754	
par56 (pp) par90	43.842963	
par56 (pp) par91	59.138347	
par57 (pp) par89	29.395843	
par57 (pp) par90	247.3099	
par57 (pp) par91	125.62054	
par58 (pp) par89	39.40215	
par59 (pp) par62	296.02714	
par59 (pp) par63	358.2865	
par59 (pp) par64	77.591952	
par62 (pp) par63	241.30455	
par62 (pp) par64	80.606941	
par63 (pp) par64	64.504996	
par65 (pp) par66	77.752337	
par65 (pp) par67	70.663901	
par65 (pp) par68	42.992314	
par66 (pp) par67	37.227949	
par66 (pp) par68	27.745285	
par67 (pp) par68	108.54687	
par71 (pp) par72	808.77244	
par71 (pp) par73	410.29884	
par71 (pp) par74	2489.2963	
par72 (pp) par73	819.57693	
par72 (pp) par74	629.59269	
par73 (pp) par74	356.62228	
par75 (pp) par76	50.918946	
par75 (pp) par77	52.008	
par75 (pp) par78	53.448984	
par75 (pp) par79	31.146286	
par75 (pp) par81	47.797852	
par75 (pp) par82	48.928602	
par75 (pp) par83	31.214874	
par75 (pp) par84	34.924946	
par76 (pp) par77	2422.6276	
par76 (pp) par78	1043.5105	
par76 (pp) par79	79.373751	
par76 (pp) par81	779.11122	
par76 (pp) par82	1251.2918	
par76 (pp) par83	80.292588	
par76 (pp) par84	111.0964	
par77 (pp) par78	1727.6393	
par77 (pp) par79	76.934021	
par77 (pp) par81	589.64987	
par77 (pp) par82	825.68135	
par77 (pp) par83	77.762461	
par77 (pp) par84	106.2592	
par78 (pp) par79	73.772048	
par78 (pp) par81	450.20492	
par78 (pp) par82	573.57434	
par78 (pp) par83	74.591418	
par78 (pp) par84	100.57192	
par79 (pp) par81	88.109661	
par79 (pp) par82	84.630785	
par79 (pp) par83	1231.0339	
par79 (pp) par84	257.12208	
par81 (pp) par82	2060.7236	
par81 (pp) par83	89.378441	
par81 (pp) par84	129.48709	
par82 (pp) par83	85.741089	
par82 (pp) par84	121.89686	
par83 (pp) par84	281.9748	
par85 (pp) par86	187.45355	
par85 (pp) par87	187.85367	
par85 (pp) par88	936.99388	
par86 (pp) par87	1135.4297	
par86 (pp) par88	227.16631	
par87 (pp) par88	222.2596	
par89 (pp) par90	31.131491	
par89 (pp) par91	37.904226	
par90 (pp) par91	168.10734	
par94 (pp) par96	224.69016	
par97 (pp) par98	753.19021	
par99 (pp) par100	53.418493	
par99 (pp) par101	68.624163	
par99 (pp) par102	804.78193	
par99 (pp) par103	56.774084	
par100 (pp) par101	240.40591	
par100 (pp) par102	51.31845	
par100 (pp) par103	879.57111	
par101 (pp) par102	65.242756	
par101 (pp) par103	323.91394	
par102 (pp) par103	54.362952	
par104 (pp) par105	103.92902	
par107 (pp) par108	89.139207	
par109 (pp) par110	79.720394	
par111 (pp) par112	35.51684	
par113 (pp) par114	135.72129	
par115 (pp) par116	291.63822	
par115 (pp) par117	399.40629	
par116 (pp) par117	1024.3027	
par1 (pp) G1	83.053855	
par2 (pp) G1	83.053855	
par6 (pp) G1	83.053855	
par1 (pp) G2	106.66255	
par3 (pp) G2	106.66255	
par6 (pp) G2	106.66255	
par1 (pp) G3	91.900704	
par4 (pp) G3	91.900704	
par6 (pp) G3	91.900704	
par1 (pp) G4	109.93242	
par5 (pp) G4	109.93242	
par6 (pp) G4	109.93242	
par1 (pp) G5	107.3198	
par6 (pp) G5	107.3198	
par7 (pp) G5	107.3198	
par1 (pp) G6	94.952085	
par6 (pp) G6	94.952085	
par8 (pp) G6	94.952085	
par1 (pp) G7	53.233361	
par44 (pp) G7	53.233361	
par70 (pp) G7	53.233361	
par1 (pp) G8	22.963238	
par45 (pp) G8	22.963238	
par70 (pp) G8	22.963238	
par1 (pp) G9	190.25849	
par46 (pp) G9	190.25849	
par69 (pp) G9	190.25849	
par1 (pp) G10	25.540738	
par47 (pp) G10	25.540738	
par70 (pp) G10	25.540738	
par1 (pp) G11	25.540738	
par48 (pp) G11	25.540738	
par70 (pp) G11	25.540738	
par1 (pp) G12	25.623977	
par49 (pp) G12	25.623977	
par70 (pp) G12	25.623977	
par1 (pp) G13	22.355148	
par50 (pp) G13	22.355148	
par69 (pp) G13	22.355148	
par1 (pp) G14	78.601976	
par50 (pp) G14	78.601976	
par70 (pp) G14	78.601976	
par1 (pp) G15	20.356763	
par58 (pp) G15	20.356763	
par91 (pp) G15	20.356763	
par1 (pp) G16	92.897225	
par70 (pp) G16	92.897225	
par107 (pp) G16	92.897225	
par1 (pp) G17	52.628574	
par70 (pp) G17	52.628574	
par108 (pp) G17	52.628574	
par2 (pp) G18	39.507998	
par44 (pp) G18	39.507998	
par70 (pp) G18	39.507998	
par2 (pp) G19	143.59343	
par46 (pp) G19	143.59343	
par69 (pp) G19	143.59343	
par2 (pp) G20	20.126828	
par46 (pp) G20	20.126828	
par70 (pp) G20	20.126828	
par2 (pp) G21	21.160038	
par47 (pp) G21	21.160038	
par70 (pp) G21	21.160038	
par2 (pp) G22	21.160038	
par48 (pp) G22	21.160038	
par70 (pp) G22	21.160038	
par2 (pp) G23	21.203239	
par49 (pp) G23	21.203239	
par70 (pp) G23	21.203239	
par2 (pp) G24	767.51423	
par50 (pp) G24	767.51423	
par70 (pp) G24	767.51423	
par2 (pp) G25	20.323012	
par58 (pp) G25	20.323012	
par91 (pp) G25	20.323012	
par2 (pp) G26	68.637052	
par70 (pp) G26	68.637052	
par107 (pp) G26	68.637052	
par2 (pp) G27	39.116898	
par70 (pp) G27	39.116898	
par108 (pp) G27	39.116898	
par3 (pp) G28	36.715066	
par44 (pp) G28	36.715066	
par70 (pp) G28	36.715066	
par3 (pp) G29	105.52061	
par46 (pp) G29	105.52061	
par69 (pp) G29	105.52061	
par3 (pp) G30	20.896446	
par46 (pp) G30	20.896446	
par70 (pp) G30	20.896446	
par3 (pp) G31	20.322003	
par47 (pp) G31	20.322003	
par70 (pp) G31	20.322003	
par3 (pp) G32	20.322003	
par48 (pp) G32	20.322003	
par70 (pp) G32	20.322003	
par3 (pp) G33	20.364038	
par49 (pp) G33	20.364038	
par70 (pp) G33	20.364038	
par3 (pp) G34	582.61703	
par50 (pp) G34	582.61703	
par70 (pp) G34	582.61703	
par3 (pp) G35	20.296768	
par58 (pp) G35	20.296768	
par91 (pp) G35	20.296768	
par3 (pp) G36	60.65272	
par70 (pp) G36	60.65272	
par107 (pp) G36	60.65272	
par3 (pp) G37	36.373643	
par70 (pp) G37	36.373643	
par108 (pp) G37	36.373643	
par4 (pp) G38	42.014892	
par44 (pp) G38	42.014892	
par70 (pp) G38	42.014892	
par4 (pp) G39	204.27128	
par46 (pp) G39	204.27128	
par69 (pp) G39	204.27128	
par4 (pp) G40	21.900928	
par47 (pp) G40	21.900928	
par70 (pp) G40	21.900928	
par4 (pp) G41	21.900928	
par48 (pp) G41	21.900928	
par70 (pp) G41	21.900928	
par4 (pp) G42	21.948709	
par49 (pp) G42	21.948709	
par70 (pp) G42	21.948709	
par4 (pp) G43	307.86644	
par50 (pp) G43	307.86644	
par70 (pp) G43	307.86644	
par4 (pp) G44	20.330038	
par58 (pp) G44	20.330038	
par91 (pp) G44	20.330038	
par4 (pp) G45	75.983161	
par70 (pp) G45	75.983161	
par107 (pp) G45	75.983161	
par4 (pp) G46	41.576511	
par70 (pp) G46	41.576511	
par108 (pp) G46	41.576511	
par5 (pp) G47	41.371629	
par44 (pp) G47	41.371629	
par70 (pp) G47	41.371629	
par5 (pp) G48	188.37902	
par46 (pp) G48	188.37902	
par69 (pp) G48	188.37902	
par5 (pp) G49	21.717409	
par47 (pp) G49	21.717409	
par70 (pp) G49	21.717409	
par5 (pp) G50	21.717409	
par48 (pp) G50	21.717409	
par70 (pp) G50	21.717409	
par5 (pp) G51	21.766759	
par49 (pp) G51	21.766759	
par70 (pp) G51	21.766759	
par5 (pp) G52	364.54384	
par50 (pp) G52	364.54384	
par70 (pp) G52	364.54384	
par5 (pp) G53	20.324609	
par58 (pp) G53	20.324609	
par91 (pp) G53	20.324609	
par5 (pp) G54	74.032248	
par70 (pp) G54	74.032248	
par107 (pp) G54	74.032248	
par5 (pp) G55	40.944071	
par70 (pp) G55	40.944071	
par108 (pp) G55	40.944071	
par6 (pp) G56	41.05375	
par44 (pp) G56	41.05375	
par70 (pp) G56	41.05375	
par6 (pp) G57	27.433444	
par45 (pp) G57	27.433444	
par70 (pp) G57	27.433444	
par6 (pp) G58	38.648026	
par46 (pp) G58	38.648026	
par69 (pp) G58	38.648026	
par6 (pp) G59	29.895828	
par47 (pp) G59	29.895828	
par70 (pp) G59	29.895828	
par6 (pp) G60	29.895828	
par48 (pp) G60	29.895828	
par70 (pp) G60	29.895828	
par6 (pp) G61	30.012035	
par49 (pp) G61	30.012035	
par70 (pp) G61	30.012035	
par6 (pp) G62	29.038306	
par50 (pp) G62	29.038306	
par69 (pp) G62	29.038306	
par6 (pp) G63	30.735614	
par50 (pp) G63	30.735614	
par70 (pp) G63	30.735614	
par6 (pp) G64	20.433587	
par58 (pp) G64	20.433587	
par91 (pp) G64	20.433587	
par6 (pp) G65	21.271736	
par69 (pp) G65	21.271736	
par107 (pp) G65	21.271736	
par6 (pp) G66	39.411514	
par70 (pp) G66	39.411514	
par107 (pp) G66	39.411514	
par6 (pp) G67	41.040235	
par70 (pp) G67	41.040235	
par108 (pp) G67	41.040235	
par7 (pp) G68	38.56112	
par44 (pp) G68	38.56112	
par70 (pp) G68	38.56112	
par7 (pp) G69	129.56883	
par46 (pp) G69	129.56883	
par69 (pp) G69	129.56883	
par7 (pp) G70	20.369713	
par46 (pp) G70	20.369713	
par70 (pp) G70	20.369713	
par7 (pp) G71	20.883423	
par47 (pp) G71	20.883423	
par70 (pp) G71	20.883423	
par7 (pp) G72	20.883423	
par48 (pp) G72	20.883423	
par70 (pp) G72	20.883423	
par7 (pp) G73	20.928661	
par49 (pp) G73	20.928661	
par70 (pp) G73	20.928661	
par7 (pp) G74	1289.3166	
par50 (pp) G74	1289.3166	
par70 (pp) G74	1289.3166	
par7 (pp) G75	20.310243	
par58 (pp) G75	20.310243	
par91 (pp) G75	20.310243	
par7 (pp) G76	65.842376	
par70 (pp) G76	65.842376	
par107 (pp) G76	65.842376	
par7 (pp) G77	38.185826	
par70 (pp) G77	38.185826	
par108 (pp) G77	38.185826	
par8 (pp) G78	40.978898	
par44 (pp) G78	40.978898	
par70 (pp) G78	40.978898	
par8 (pp) G79	175.4445	
par46 (pp) G79	175.4445	
par69 (pp) G79	175.4445	
par8 (pp) G80	21.597281	
par47 (pp) G80	21.597281	
par70 (pp) G80	21.597281	
par8 (pp) G81	21.597281	
par48 (pp) G81	21.597281	
par70 (pp) G81	21.597281	
par8 (pp) G82	21.644043	
par49 (pp) G82	21.644043	
par70 (pp) G82	21.644043	
par8 (pp) G83	416.64444	
par50 (pp) G83	416.64444	
par70 (pp) G83	416.64444	
par8 (pp) G84	20.32542	
par58 (pp) G84	20.32542	
par91 (pp) G84	20.32542	
par8 (pp) G85	72.932066	
par70 (pp) G85	72.932066	
par107 (pp) G85	72.932066	
par8 (pp) G86	40.559575	
par70 (pp) G86	40.559575	
par108 (pp) G86	40.559575	
par9 (pp) G87	28.717019	
par17 (pp) G87	28.717019	
par113 (pp) G87	28.717019	
par9 (pp) G88	27.482945	
par17 (pp) G88	27.482945	
par114 (pp) G88	27.482945	
par9 (pp) G89	230.83906	
par18 (pp) G89	230.83906	
par113 (pp) G89	230.83906	
par9 (pp) G90	221.01949	
par18 (pp) G90	221.01949	
par114 (pp) G90	221.01949	
par9 (pp) G91	342.05176	
par19 (pp) G91	342.05176	
par113 (pp) G91	342.05176	
par9 (pp) G92	198.32434	
par19 (pp) G92	198.32434	
par114 (pp) G92	198.32434	
par9 (pp) G93	30.345464	
par32 (pp) G93	30.345464	
par33 (pp) G93	30.345464	
par9 (pp) G94	23.023346	
par32 (pp) G94	23.023346	
par34 (pp) G94	23.023346	
par9 (pp) G95	30.139751	
par32 (pp) G95	30.139751	
par35 (pp) G95	30.139751	
par9 (pp) G96	20.090148	
par43 (pp) G96	20.090148	
par44 (pp) G96	20.090148	
par9 (pp) G97	20.178634	
par43 (pp) G97	20.178634	
par108 (pp) G97	20.178634	
par9 (pp) G98	22.039567	
par45 (pp) G98	22.039567	
par50 (pp) G98	22.039567	
par9 (pp) G99	21.021423	
par51 (pp) G99	21.021423	
par58 (pp) G99	21.021423	
par9 (pp) G100	21.885297	
par58 (pp) G100	21.885297	
par91 (pp) G100	21.885297	
par9 (pp) G101	21.558747	
par69 (pp) G101	21.558747	
par70 (pp) G101	21.558747	
par9 (pp) G102	119.15883	
par94 (pp) G102	119.15883	
par113 (pp) G102	119.15883	
par9 (pp) G103	128.25124	
par94 (pp) G103	128.25124	
par114 (pp) G103	128.25124	
par9 (pp) G104	235.03563	
par96 (pp) G104	235.03563	
par113 (pp) G104	235.03563	
par9 (pp) G105	224.67405	
par96 (pp) G105	224.67405	
par114 (pp) G105	224.67405	
par10 (pp) G106	46.058565	
par17 (pp) G106	46.058565	
par113 (pp) G106	46.058565	
par10 (pp) G107	41.893963	
par17 (pp) G107	41.893963	
par114 (pp) G107	41.893963	
par10 (pp) G108	42.120486	
par18 (pp) G108	42.120486	
par113 (pp) G108	42.120486	
par10 (pp) G109	42.518381	
par18 (pp) G109	42.518381	
par114 (pp) G109	42.518381	
par10 (pp) G110	53.4833	
par19 (pp) G110	53.4833	
par113 (pp) G110	53.4833	
par10 (pp) G111	53.137867	
par19 (pp) G111	53.137867	
par114 (pp) G111	53.137867	
par10 (pp) G112	29.493912	
par32 (pp) G112	29.493912	
par33 (pp) G112	29.493912	
par10 (pp) G113	22.381195	
par32 (pp) G113	22.381195	
par34 (pp) G113	22.381195	
par10 (pp) G114	29.271914	
par32 (pp) G114	29.271914	
par35 (pp) G114	29.271914	
par10 (pp) G115	20.040326	
par43 (pp) G115	20.040326	
par44 (pp) G115	20.040326	
par10 (pp) G116	20.128236	
par43 (pp) G116	20.128236	
par108 (pp) G116	20.128236	
par10 (pp) G117	21.962976	
par45 (pp) G117	21.962976	
par50 (pp) G117	21.962976	
par10 (pp) G118	20.45968	
par51 (pp) G118	20.45968	
par58 (pp) G118	20.45968	
par10 (pp) G119	21.271226	
par58 (pp) G119	21.271226	
par91 (pp) G119	21.271226	
par10 (pp) G120	21.498927	
par69 (pp) G120	21.498927	
par70 (pp) G120	21.498927	
par10 (pp) G121	36.198276	
par94 (pp) G121	36.198276	
par113 (pp) G121	36.198276	
par10 (pp) G122	36.725646	
par94 (pp) G122	36.725646	
par114 (pp) G122	36.725646	
par10 (pp) G123	42.300899	
par96 (pp) G123	42.300899	
par113 (pp) G123	42.300899	
par10 (pp) G124	42.703772	
par96 (pp) G124	42.703772	
par114 (pp) G124	42.703772	
par11 (pp) G125	25.770971	
par17 (pp) G125	25.770971	
par113 (pp) G125	25.770971	
par11 (pp) G126	24.841231	
par17 (pp) G126	24.841231	
par114 (pp) G126	24.841231	
par11 (pp) G127	1209.772	
par18 (pp) G127	1209.772	
par113 (pp) G127	1209.772	
par11 (pp) G128	429.02229	
par18 (pp) G128	429.02229	
par114 (pp) G128	429.02229	
par11 (pp) G129	156.3377	
par19 (pp) G129	156.3377	
par113 (pp) G129	156.3377	
par11 (pp) G130	128.14309	
par19 (pp) G130	128.14309	
par114 (pp) G130	128.14309	
par11 (pp) G131	30.585331	
par32 (pp) G131	30.585331	
par33 (pp) G131	30.585331	
par11 (pp) G132	23.204521	
par32 (pp) G132	23.204521	
par34 (pp) G132	23.204521	
par11 (pp) G133	30.384679	
par32 (pp) G133	30.384679	
par35 (pp) G133	30.384679	
par11 (pp) G134	20.10147	
par43 (pp) G134	20.10147	
par44 (pp) G134	20.10147	
par11 (pp) G135	20.190121	
par43 (pp) G135	20.190121	
par108 (pp) G135	20.190121	
par11 (pp) G136	22.057402	
par45 (pp) G136	22.057402	
par50 (pp) G136	22.057402	
par11 (pp) G137	21.176995	
par51 (pp) G137	21.176995	
par58 (pp) G137	21.176995	
par11 (pp) G138	20.010262	
par58 (pp) G138	20.010262	
par90 (pp) G138	20.010262	
par11 (pp) G139	22.055605	
par58 (pp) G139	22.055605	
par91 (pp) G139	22.055605	
par11 (pp) G140	21.571904	
par69 (pp) G140	21.571904	
par70 (pp) G140	21.571904	
par11 (pp) G141	250.28855	
par94 (pp) G141	250.28855	
par113 (pp) G141	250.28855	
par11 (pp) G142	327.3725	
par94 (pp) G142	327.3725	
par114 (pp) G142	327.3725	
par11 (pp) G143	1010.3944	
par96 (pp) G143	1010.3944	
par113 (pp) G143	1010.3944	
par11 (pp) G144	417.66416	
par96 (pp) G144	417.66416	
par114 (pp) G144	417.66416	
par12 (pp) G145	44.920677	
par17 (pp) G145	44.920677	
par113 (pp) G145	44.920677	
par12 (pp) G146	41.00465	
par17 (pp) G146	41.00465	
par114 (pp) G146	41.00465	
par12 (pp) G147	44.384326	
par18 (pp) G147	44.384326	
par113 (pp) G147	44.384326	
par12 (pp) G148	44.816133	
par18 (pp) G148	44.816133	
par114 (pp) G148	44.816133	
par12 (pp) G149	57.143132	
par19 (pp) G149	57.143132	
par113 (pp) G149	57.143132	
par12 (pp) G150	56.652239	
par19 (pp) G150	56.652239	
par114 (pp) G150	56.652239	
par12 (pp) G151	29.5454	
par32 (pp) G151	29.5454	
par33 (pp) G151	29.5454	
par12 (pp) G152	22.420011	
par32 (pp) G152	22.420011	
par34 (pp) G152	22.420011	
par12 (pp) G153	29.324282	
par32 (pp) G153	29.324282	
par35 (pp) G153	29.324282	
par12 (pp) G154	20.043547	
par43 (pp) G154	20.043547	
par44 (pp) G154	20.043547	
par12 (pp) G155	20.131492	
par43 (pp) G155	20.131492	
par108 (pp) G155	20.131492	
par12 (pp) G156	21.967873	
par45 (pp) G156	21.967873	
par50 (pp) G156	21.967873	
par12 (pp) G157	20.491478	
par51 (pp) G157	20.491478	
par58 (pp) G157	20.491478	
par12 (pp) G158	21.306056	
par58 (pp) G158	21.306056	
par91 (pp) G158	21.306056	
par12 (pp) G159	21.502808	
par69 (pp) G159	21.502808	
par70 (pp) G159	21.502808	
par12 (pp) G160	37.852256	
par94 (pp) G160	37.852256	
par113 (pp) G160	37.852256	
par12 (pp) G161	38.434855	
par94 (pp) G161	38.434855	
par114 (pp) G161	38.434855	
par12 (pp) G162	44.584137	
par96 (pp) G162	44.584137	
par113 (pp) G162	44.584137	
par12 (pp) G163	45.021624	
par96 (pp) G163	45.021624	
par114 (pp) G163	45.021624	
par13 (pp) G164	24.943898	
par14 (pp) G164	24.943898	
par52 (pp) G164	24.943898	
par13 (pp) G165	33.036919	
par14 (pp) G165	33.036919	
par95 (pp) G165	33.036919	
par13 (pp) G166	24.930851	
par16 (pp) G166	24.930851	
par52 (pp) G166	24.930851	
par13 (pp) G167	33.120454	
par16 (pp) G167	33.120454	
par95 (pp) G167	33.120454	
par13 (pp) G168	21.45767	
par32 (pp) G168	21.45767	
par33 (pp) G168	21.45767	
par13 (pp) G169	21.252545	
par32 (pp) G169	21.252545	
par35 (pp) G169	21.252545	
par13 (pp) G170	20.637255	
par43 (pp) G170	20.637255	
par44 (pp) G170	20.637255	
par13 (pp) G171	20.721111	
par43 (pp) G171	20.721111	
par108 (pp) G171	20.721111	
par13 (pp) G172	22.861016	
par45 (pp) G172	22.861016	
par50 (pp) G172	22.861016	
par13 (pp) G173	22.669534	
par69 (pp) G173	22.669534	
par70 (pp) G173	22.669534	
par14 (pp) G174	25.484735	
par15 (pp) G174	25.484735	
par95 (pp) G174	25.484735	
par14 (pp) G175	21.483572	
par32 (pp) G175	21.483572	
par33 (pp) G175	21.483572	
par14 (pp) G176	21.260572	
par32 (pp) G176	21.260572	
par35 (pp) G176	21.260572	
par14 (pp) G177	21.793955	
par45 (pp) G177	21.793955	
par50 (pp) G177	21.793955	
par14 (pp) G178	21.634129	
par69 (pp) G178	21.634129	
par70 (pp) G178	21.634129	
par15 (pp) G179	25.537053	
par16 (pp) G179	25.537053	
par95 (pp) G179	25.537053	
par15 (pp) G180	21.420813	
par32 (pp) G180	21.420813	
par33 (pp) G180	21.420813	
par15 (pp) G181	21.221623	
par32 (pp) G181	21.221623	
par35 (pp) G181	21.221623	
par15 (pp) G182	20.937174	
par43 (pp) G182	20.937174	
par44 (pp) G182	20.937174	
par15 (pp) G183	21.022386	
par43 (pp) G183	21.022386	
par108 (pp) G183	21.022386	
par15 (pp) G184	23.237633	
par45 (pp) G184	23.237633	
par50 (pp) G184	23.237633	
par15 (pp) G185	23.031035	
par69 (pp) G185	23.031035	
par70 (pp) G185	23.031035	
par16 (pp) G186	21.475475	
par32 (pp) G186	21.475475	
par33 (pp) G186	21.475475	
par16 (pp) G187	21.252746	
par32 (pp) G187	21.252746	
par35 (pp) G187	21.252746	
par16 (pp) G188	21.796007	
par45 (pp) G188	21.796007	
par50 (pp) G188	21.796007	
par16 (pp) G189	21.635979	
par69 (pp) G189	21.635979	
par70 (pp) G189	21.635979	
par17 (pp) G190	639.88513	
par20 (pp) G190	639.88513	
par21 (pp) G190	639.88513	
par17 (pp) G191	21.994665	
par20 (pp) G191	21.994665	
par52 (pp) G191	21.994665	
par17 (pp) G192	574.45749	
par20 (pp) G192	574.45749	
par95 (pp) G192	574.45749	
par17 (pp) G193	631.03703	
par21 (pp) G193	631.03703	
par93 (pp) G193	631.03703	
par17 (pp) G194	204.62719	
par21 (pp) G194	204.62719	
par95 (pp) G194	204.62719	
par17 (pp) G195	26.523871	
par32 (pp) G195	26.523871	
par33 (pp) G195	26.523871	
par17 (pp) G196	20.13043	
par32 (pp) G196	20.13043	
par34 (pp) G196	20.13043	
par17 (pp) G197	26.261492	
par32 (pp) G197	26.261492	
par35 (pp) G197	26.261492	
par17 (pp) G198	20.852367	
par43 (pp) G198	20.852367	
par44 (pp) G198	20.852367	
par17 (pp) G199	20.93562	
par43 (pp) G199	20.93562	
par108 (pp) G199	20.93562	
par17 (pp) G200	23.042703	
par45 (pp) G200	23.042703	
par50 (pp) G200	23.042703	
par17 (pp) G201	22.05105	
par52 (pp) G201	22.05105	
par93 (pp) G201	22.05105	
par17 (pp) G202	22.804296	
par69 (pp) G202	22.804296	
par70 (pp) G202	22.804296	
par17 (pp) G203	20.505536	
par76 (pp) G203	20.505536	
par85 (pp) G203	20.505536	
par17 (pp) G204	20.78466	
par76 (pp) G204	20.78466	
par86 (pp) G204	20.78466	
par17 (pp) G205	20.857792	
par76 (pp) G205	20.857792	
par87 (pp) G205	20.857792	
par17 (pp) G206	20.519059	
par76 (pp) G206	20.519059	
par88 (pp) G206	20.519059	
par17 (pp) G207	20.442687	
par77 (pp) G207	20.442687	
par85 (pp) G207	20.442687	
par17 (pp) G208	20.731287	
par77 (pp) G208	20.731287	
par86 (pp) G208	20.731287	
par17 (pp) G209	20.803918	
par77 (pp) G209	20.803918	
par87 (pp) G209	20.803918	
par17 (pp) G210	20.458023	
par77 (pp) G210	20.458023	
par88 (pp) G210	20.458023	
par17 (pp) G211	20.408532	
par78 (pp) G211	20.408532	
par85 (pp) G211	20.408532	
par17 (pp) G212	20.712893	
par78 (pp) G212	20.712893	
par86 (pp) G212	20.712893	
par17 (pp) G213	20.784331	
par78 (pp) G213	20.784331	
par87 (pp) G213	20.784331	
par17 (pp) G214	20.4271	
par78 (pp) G214	20.4271	
par88 (pp) G214	20.4271	
par17 (pp) G215	20.904532	
par79 (pp) G215	20.904532	
par85 (pp) G215	20.904532	
par17 (pp) G216	20.798271	
